,ID,duration,wav,province_code,wrd
16088,gw-talk_set3_collectorgw73_speakergw1403_speakergw1404_3_0_124-29,5.068,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw73/talk_set3_collectorgw73_speakergw1403_speakergw1404_3_0_124-29.wav,gw,우리 딸은 서울 원주 살다가 큰딸 서울 가더니 자기는 인제 안 서울서 살거래
29176,gw-talk_set2_collectorgw227_speakergw2863_speakergw2864_16_0_113-7,19.218,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw227/talk_set2_collectorgw227_speakergw2863_speakergw2864_16_0_113-7.wav,gw,그러면 서로가 엄마 우리가 누구의 뭐 못 키운다 키운다 소리 하지 말고 참 이게 어려운 게 유아예요 서로가 보면 그런데 뭐 엄마를 알아보기 전까지는 우리가 키워도 된다고 생각하고 또 키워줄 수 있는 능력이 되면 또 키워줘도 된다고 생각합니다
15322,gw-talk_set3_collectorgw73_speakergw502_speakergw503_14_0_69-2,7.76,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw73/talk_set3_collectorgw73_speakergw502_speakergw503_14_0_69-2.wav,gw,편하고 집사람들두 근데 이게 옛날같이 뭐 뭐 산 거 한 거 그렇게 표가 별로 안나
25971,gw-talk_set1_collectorgw167_speakergw800_speakergw801_1_0_116-3,21.809,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw167/talk_set1_collectorgw167_speakergw800_speakergw801_1_0_116-3.wav,gw,그러면 우리 쉽게 합시다 그 지니긴 지니데 그 요즘에는 잘 돼 있으니까 시스템이 잘 돼 있으니까 맞출 수 있는 거는 맞추자고 맞추고 집에서 할 수 있는 간단한 채소 뭐 밥 이런 것만 하고 그양 주문합시다 주문해서 물론 성의가 부족하겠지만은 그래 합시다
23393,gw-talk_set1_collectorgw132_speakergw2834_speakergw2835_8_0_114-2,5.21,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw132/talk_set1_collectorgw132_speakergw2834_speakergw2835_8_0_114-2.wav,gw,아들이 그래 말해가지고 내가 그 주례 석상에 올라가 섰잖아
28818,gw-talk_set2_collectorgw227_speakergw2895_speakergw2896_12_0_119-0,1.899,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw227/talk_set2_collectorgw227_speakergw2895_speakergw2896_12_0_119-0.wav,gw,농사 짓는 사람이 제일 불쌍해요
22382,gw-talk_set1_collectorgw97_speakergw1501_speakergw1502_7_0_81-8,5.43,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw97/talk_set1_collectorgw97_speakergw1501_speakergw1502_7_0_81-8.wav,gw,근데 여름에는 진짜 너처럼 저 땀이 많은 사람들은 싫어하더라고 근데 나는 땀이 안 나
8031,gw-talk_set1_collectorgw89_speakergw650_speakergw651_6_0_118-7,10.038,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw89/talk_set1_collectorgw89_speakergw650_speakergw651_6_0_118-7.wav,gw,그런 것 때문에 또 가족이 또 못 보다가 볼 수도 있는 거고 그러믄서 김치 싸서 서로 입에다 넣어주고 이런 오고 가는 정감이 있지
3103,gw-talk_set1_collectorgw131_speakergw2832_speakergw2833_23_0_162-5,4.07,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw131/talk_set1_collectorgw131_speakergw2832_speakergw2833_23_0_162-5.wav,gw,요즘에 진짜 안타까운 게 한두 가지가 아니야
18992,gw-talk_set2_collectorgw86_speakergw749_speakergw750_1_0_56-0,5.851,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw86/talk_set2_collectorgw86_speakergw749_speakergw750_1_0_56-0.wav,gw,윷놀이와 화토 중에서 저는 윷놀이를 좋아하는 것 같습니다
8020,gw-talk_set2_collectorgw94_speakergw1644_speakergw1645_2_0_120-37,1.039,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw94/talk_set2_collectorgw94_speakergw1644_speakergw1645_2_0_120-37.wav,gw,그렇구나
19116,gw-talk_set2_collectorgw86_speakergw1353_speakergw1354_5_0_118-4,0.427,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw86/talk_set2_collectorgw86_speakergw1353_speakergw1354_5_0_118-4.wav,gw,예
27079,gw-talk_set1_collectorgw130_speakergw1071_speakergw1072_10_0_125-1,10.571,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw130/talk_set1_collectorgw130_speakergw1071_speakergw1072_10_0_125-1.wav,gw,집에서 민간요법 한다고 해봐야 뭐 맞는 사람들은 맞겠지만 그러니 그게 안 좋으니까 일단은 병원으로 뛰어가야 돼요 병원에
26184,gw-talk_set1_collectorgw167_speakergw1292_speakergw1293_10_0_119-3,6.25,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw167/talk_set1_collectorgw167_speakergw1292_speakergw1293_10_0_119-3.wav,gw,그러면서 발바닥을 막 쭈물 이렇게 눌르고 하면 이 발꼬락이 어떤 때는 좀 이렇게 펴져요
16816,gw-talk_set3_collectorgw87_speakergw440_speakergw441_4_0_71-13,1.286,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw87/talk_set3_collectorgw87_speakergw440_speakergw441_4_0_71-13.wav,gw,그래 맞아 그래
6197,gw-talk_set1_collectorgw82_speakergw1451_speakergw1452_7_0_103-5,15.169,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw82/talk_set1_collectorgw82_speakergw1451_speakergw1452_7_0_103-5.wav,gw,나도 겨울보다 여름이 더 좋다고 생각해 야 겨울에는 진짜 눈 눈 눈이 오면 눈 치워야 되지 또 어디 가면 미끄러울 때 가면 미끄러 넘어질까 봐 걱정되지 맞아 겨울보단 여름에 더 좋다고 봐
30213,gw-say_set1_collectorgw129_speakergw1381_17_0_37-1,8.579,/data/MTDATA/fn-2-018/root/person/say/gw/collectorgw129/say_set1_collectorgw129_speakergw1381_17_0_37-1.wav,gw,그래서 상대방이 이야기하는 걸 들으면서 오히려 제가 상대방을 유도한 적이 있었어요
1973,gw-talk_set1_collectorgw226_speakergw2881_speakergw2882_1_0_134-10,2.37,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw226/talk_set1_collectorgw226_speakergw2881_speakergw2882_1_0_134-10.wav,gw,나는 지내야 된다고 생각하고 있어요
10639,gw-talk_set3_collectorgw137_speakergw1341_speakergw1342_0_0_74-1,6.48,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw137/talk_set3_collectorgw137_speakergw1341_speakergw1342_0_0_74-1.wav,gw,왜 그러냐하면 어 식구들 전부 다 이렇게 만날 때 나는 좋드라고
19287,gw-talk_set1_collectorgw86_speakergw673_speakergw674_5_0_24-0,5.319,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw86/talk_set1_collectorgw86_speakergw673_speakergw674_5_0_24-0.wav,gw,때와 장소에 맞는 옷차림이 필요하다고 생각한다
21904,gw-talk_set1_collectorgw101_speakergw1231_speakergw1232_8_0_96-8,9.649,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw101/talk_set1_collectorgw101_speakergw1231_speakergw1232_8_0_96-8.wav,gw,그럼 그래서 몰라 나는 하여튼 선물보다는 그래도 그냥 노인네들한테는 용돈이 더 좋지 않을까 이렇게 생각되네
22772,gw-talk_set1_collectorgw179_speakergw1017_speakergw1018_1_1_113-4,22.164,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw179/talk_set1_collectorgw179_speakergw1017_speakergw1018_1_1_113-4.wav,gw,한 달에 뭐 두 번 세 번 이거 뭐 하는 짓이고 이랬는데 우리 아버님이 현명하시게 왜 내가 며느리 고생시키나 너희들이 무슨 죄가 있나 이래서 시 시집 오면서 하루에 그 다 지사를 없애고 할머니 할아버지만 딱 놔두고는 다 그양 하루에 다 없앴어요
35639,gw-say_set2_collectorgw86_speakergw406_7_0_35-2,6.879,/data/MTDATA/fn-2-018/root/person/say/gw/collectorgw86/say_set2_collectorgw86_speakergw406_7_0_35-2.wav,gw,그래서 불편한 점을 해소해 준 것이 상당히 좋다고 생각합니다
25705,gw-talk_set1_collectorgw167_speakergw1143_speakergw1144_4_0_109-12,0.33,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw167/talk_set1_collectorgw167_speakergw1143_speakergw1144_4_0_109-12.wav,gw,그렇지
14248,gw-talk_set1_collectorgw169_speakergw2870_speakergw2871_4_0_124-3,17.549,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw169/talk_set1_collectorgw169_speakergw2870_speakergw2871_4_0_124-3.wav,gw,다 약 쳐가지고 그거 하는 거지 뭐 모르고 귀농 귀농 한 상만 갖고 앉아서 귀농하다가 귀농이 얼마라고 잘 생각해서 귀농해야지 뭐 남들이 간다 하고 뭐 좋은 데 가서 따라가 가지고 어 농사 지어 보라고 농사가 됐냐고
14536,gw-talk_set3_collectorgw169_speakergw2888_speakergw2889_5_0_134-7,7.52,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw169/talk_set3_collectorgw169_speakergw2888_speakergw2889_5_0_134-7.wav,gw,근데 등산복은 입으면 입을수록 이제 부담감 안 가고 몸에 착 붙고 좋아요
8367,gw-talk_set1_collectorgw89_speakergw603_speakergw604_0_0_112-8,4.299,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw89/talk_set1_collectorgw89_speakergw603_speakergw604_0_0_112-8.wav,gw,예 맞아요 당신이랑 나랑 그런 거는 마음에 맞는 것 같아
14042,gw-talk_set1_collectorgw169_speakergw2883_speakergw2884_17_0_104-10,8.59,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw169/talk_set1_collectorgw169_speakergw2883_speakergw2884_17_0_104-10.wav,gw,산이라는 거는 세상 살아가면서 거짓은 없고 자기 그 형태 그대로 그 그 모습 그대로가 너무 좋더라고
31553,gw-say_set2_collectorgw84_speakergw488_20_0_24-0,2.719,/data/MTDATA/fn-2-018/root/person/say/gw/collectorgw84/say_set2_collectorgw84_speakergw488_20_0_24-0.wav,gw,일을 할 때에는 편한 복장으로 일을 하지요
7660,gw-talk_set1_collectorgw94_speakergw1048_speakergw1049_10_0_126-15,7.35,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw94/talk_set1_collectorgw94_speakergw1048_speakergw1049_10_0_126-15.wav,gw,요즘은 병원에 가 보면은 사람들이 밀려 나라 나와서 한 시간 기달려갖고 의사는 뭐 이 삼분 보고 나오는 그런 상황이야
15536,gw-talk_set2_collectorgw73_speakergw1577_speakergw1578_0_0_120-8,1.159,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw73/talk_set2_collectorgw73_speakergw1577_speakergw1578_0_0_120-8.wav,gw,둘 다 다 해주면 더 좋지
19879,gw-talk_set1_collectorgw103_speakergw546_speakergw547_9_0_61-19,2.297,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw103/talk_set1_collectorgw103_speakergw546_speakergw547_9_0_61-19.wav,gw,그 아무래도 손주덜 따라서 하다 보니까
16689,gw-talk_set2_collectorgw87_speakergw1419_speakergw1420_2_0_125-1,2.98,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw87/talk_set2_collectorgw87_speakergw1419_speakergw1420_2_0_125-1.wav,gw,일차적으로는 병원에 가서 진단을 받아야 된다
13521,gw-talk_set3_collectorgw88_speakergw717_speakergw718_1_0_77-2,11.35,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw88/talk_set3_collectorgw88_speakergw717_speakergw718_1_0_77-2.wav,gw,그래서 강릉 가서 바다를 보면 내 그 속이 다 다 풀리고 너무너무 스트레스가 풀리면서 힐링이 되고 너무 좋아 나는
33916,gw-say_set1_collectorgw35_speakergs826_34_0_34-1,10.384,/data/MTDATA/fn-2-018/root/person/say/gw/collectorgw35/say_set1_collectorgw35_speakergs826_34_0_34-1.wav,gw,그리고 전통 놀이는 아니지만은 에 모기를 없애는 차가 지나가면은 그 차를 따라가서 그 냄새를 맡곤 했습니다
11190,gw-talk_set3_collectorgw137_speakergw2932_speakergw2933_6_0_29-0,3.51,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw137/talk_set3_collectorgw137_speakergw2932_speakergw2933_6_0_29-0.wav,gw,어이 동상 여 여 이것 좀 이것 좀 먹어봐라
32084,gw-say_set1_collectorgw82_speakergw529_17_0_23-2,8.19,/data/MTDATA/fn-2-018/root/person/say/gw/collectorgw82/say_set1_collectorgw82_speakergw529_17_0_23-2.wav,gw,그런데 말도 어눌하고 우리나라 사람 목소리 같지가 않아서 대구를 안 하고 끊은 적이 있습니다
25512,gw-talk_set1_collectorgw181_speakergw2868_speakergw2869_22_0_109-5,6.679,/data/MTDATA/fn-2-018/root/people/talk/gw/collectorgw181/talk_set1_collectorgw181_speakergw2868_speakergw2869_22_0_109-5.wav,gw,근데 차가운 걸 너무 많이 먹으면 몸에 별로 안 좋다고는 하잖아요 뜨거운 걸 먹는 게 오히려 낫지
